,place,title,artist,description,url,date,open_,start
0,WWW X,「monogatari ”無料”五大都市ワンマンツアー2018 ～え?モノガってヤバくね!?～」 東京ファイナル公演,monogatari,,http://www-shibuya.jp/schedule/009106.php,2018-06-01,18:00 , 19:00
1,WWW,台日爆音 BORDERLESS 2018,PAN / 四星球 / P!SCO(台湾) / Random(台湾) / VJ 2mo,,http://www-shibuya.jp/schedule/008925.php,2018-06-01,18:00 , 19:00
2,WWW X,むらたたむドラムライブVol.5 ~ドラム始めて10年目に突入!~,むらたたむ,,http://www-shibuya.jp/schedule/008950.php,2018-06-02,16:30 , 17:00
3,WWW,シナリオアート ワンマンツアー2018 [Scene #4] -センチメンタル通リ雨ツアー-,シナリオアート,,http://www-shibuya.jp/schedule/008964.php,2018-06-02,17:30 , 18:00
4,WWW,ロッカジャポニカ武者修行GIG vol.3,ロッカジャポニカ / GUEST:夢みるアドレセンス,,http://www-shibuya.jp/schedule/009003.php,2018-06-03,16:00 , 16:30
5,WWW X,H.I.P. presents GIG TAKAHASHI 2018 vol.2,あゆみくりかまき / 大阪☆春夏秋冬 / こぶしファクトリー / 東京女子流 / まなみのりさ / ゆるめるモ! / Devil ANTHEM. / DEVIL NO ID / ...,,http://www-shibuya.jp/schedule/008955.php,2018-06-03,12:30 , 13:00
6,WWW,MADNE$$,どついたるねん / 小林勝行 / GEZAN / DJ:KΣITO,,http://www-shibuya.jp/schedule/009000.php,2018-06-05,18:30 , 19:30
7,WWW,WWW presents dots,キセル / Gofishトリオ,,http://www-shibuya.jp/schedule/008999.php,2018-06-06,19:00 , 19:30
8,WWW,落日飛車(Sunset Rollercoaster) / シャムキャッツ,BIG ROMANTIC LIVE「落日飛車×シャムキャッツ」,,http://www-shibuya.jp/schedule/008932.php,2018-06-07,19:00 , 19:30
9,WWW X,LANDSCAPE -SHIBUYA2018- / TOKYO MUSIC ODYSSEY 2018,フレデリック / DATS / Luby Sparks,,http://www-shibuya.jp/schedule/009066.php,2018-06-08,18:00 , 19:00
10,WWW,TMO SESSIONS / TOKYO MUSIC ODYSSEY 2018,＜第一部＞曽我部恵一 / 若林恵 / 柳樂光隆　＜第二部＞落合陽一 / ケンモチヒデフミ（水曜日のカンパネラ） / ぼくのりりっくのぼうよみ / 進行司会　Licaxxx,,http://www-shibuya.jp/schedule/009098.php,2018-06-08,18:00 , 18:30
11,WWW,SCRAMBLE 1 / TOKYO MUSIC ODYSSEY 2018,imai / Campanella / 国府達矢 / 向井秀徳アコースティック＆エレクトリック / 呂布カルマ / [DJ]YELLOWUHURU (GHPD / FLATTOP)...,,http://www-shibuya.jp/schedule/009067.php,2018-06-09,17:30 , 18:00
12,WWW,SCRAMBLE 2 / TOKYO MUSIC ODYSSEY 2018,KENTO YAMADA AUDIO VISUAL CRASH/ kZm(YENTOWN) / Ryohu from KANDYTOWN (Band Set) / THE THR...,,http://www-shibuya.jp/schedule/009068.php,2018-06-09,24:00 , 24:00 ※本公演では20歳未満の方のご入場は一切お断りさせて頂きます。 年齢確認の為、ご入場の際に全ての方にIDチェックを実施しております。写真付き身分証明証をお持ち下さい。
13,WWW X,,"SOUND & VISION X Presents MAN WITH A MISSION ""Chasing the Horizon"" Special Live LIVE VIEW...",,http://www-shibuya.jp/schedule/009128.php,2018-06-09,17:00 , 18:00
14,WWW,SCRAMBLE 3 / TOKYO MUSIC ODYSSEY 2018,jan and naomi / スカート / バレーボウイズ / Homecomings / TENDOUJI / odd eyes / the hatch / uri gagar...,,http://www-shibuya.jp/schedule/009069.php,2018-06-10,13:00 , 13:30
15,WWW,Orange Milk Japan Showcase Tour 2018 - Tour Final -,Seth Graham / Nico Niquo / 食品まつり a.k.a foodman / CVN / mus.hiba / Koeosaeme / dok-s proje...,,http://www-shibuya.jp/schedule/009038.php,2018-06-12,18:30 , 18:30
16,WWW,弾きモノ語り,内田珠鈴 / CJ Li / 松村理子,,http://www-shibuya.jp/schedule/009159.php,2018-06-13,19:00 , 19:30
17,WWW X,FLOOR X #1,[LIVE]空間現代 / Ramza / [DJ]行松陽介,,http://www-shibuya.jp/schedule/009015.php,2018-06-13,19:30 , 19:30
18,WWW,大桃子サンライズ生誕祭 ヲタ芸グランドスラム！ vol.2 〜集まれ！バイブスの怪物♡始まって10秒で最高潮SP〜 in 渋谷WWW,大桃子サンライズSpecial BANDSET / TAKENOKO▲ / THERE THERE THERES and more!,,http://www-shibuya.jp/schedule/009129.php,2018-06-14,18:00 , 18:30
19,WWW β,悪魔の沼『薬』Release Party,悪魔の沼 (Compuma / Dr.Nishimura / Awano) / αAREA (dj discharge) / CHANGSIE / speedy lee genes...,,http://www-shibuya.jp/schedule/009107.php,2018-06-15,,
20,WWW X,福緒唯 卒業公演,旭優奈 / 工藤ひなき / 小嶋凛 / 堤雪菜 / 巴奎依 / 春咲暖 / 広瀬ゆうき / 福緒唯 / 星希成奏,,http://www-shibuya.jp/schedule/009137.php,2018-06-15,18:15 , 19:00
21,WWW,"JOURNAL STANDARD presents Kick a Show ""The Twelve Love"" Release Live",Kick a Show / [GUEST] JABBA DA FOOTBALL CLUB / ZEN-LA-ROCK / G.RINA / Caryn10 / reverv kue...,,http://www-shibuya.jp/schedule/009018.php,2018-06-15,18:30 , 18:30
22,WWW,［1部］Girls and Boys “Girls” ［2部］Girls and Boys “Boys”,GANG PARADE,,http://www-shibuya.jp/schedule/009124.php,2018-06-16,,
23,WWW X,アキシブproject月1定期公演＆田口未彩生誕祭＠渋谷WWWX,アキシブproject,,http://www-shibuya.jp/schedule/009130.php,2018-06-16,13:00 , 13:30
24,WWW X,『HIGH SPIRITS 真崎千波･小嶋未帆 卒業公演』,HIGH SPIRITS,,http://www-shibuya.jp/schedule/009160.php,2018-06-16,18:30 , 19:00
25,WWW β,Peep Hall / 壁の目会館 Yoshinori Hayashi - All Night Long -,Yoshinori Hayashi,,http://www-shibuya.jp/schedule/009072.php,2018-06-16,,
26,WWW,Showcase,BACK DROP BOMB / HUSKING BEE / CAPTAIN HEDGE HOG,,http://www-shibuya.jp/schedule/009112.php,2018-06-17,17:00 , 18:00
27,WWW X,Fence of Defense 30th Anniversary -Three Dogs Night -,FENCE OF DEFENSE,,http://www-shibuya.jp/schedule/009055.php,2018-06-17,16:00 , 17:00
28,WWW,4年2組vs笹山太陽ツーマンライブ！,4年2組 / 笹山太陽,,http://www-shibuya.jp/schedule/009053.php,2018-06-18,17:20 , 17:50
29,WWW X,GEORAMA2017­-18 presents 2018 チャネリング・ウィズ・ミスター・クリヨウジ,クリヨウジ aka 久里洋二 × 坂本慎太郎 / キュレーター:宇川直宏(DOMMUNE),,http://www-shibuya.jp/schedule/009102.php,2018-06-19,18:30 , 19:30
30,WWW,→Pia-no-jaC← 10th Anniversary 組曲『かりゆし58』,→Pia-no-jaC← / かりゆし58,,http://www-shibuya.jp/schedule/008782.php,2018-06-19,18:00 , 18:30
31,WWW X,YUME LIVE DEATH MATCH supported by Skream! VOL.02,夢みるアドレセンス / こぶしファクトリー,,http://www-shibuya.jp/schedule/009140.php,2018-06-20,18:15 , 19:00
32,WWW,『夢怪物無銭出稽古』,DREAMING MONSTER / ワンダーウィード / KNU / VICTORIA SQUAD,,http://www-shibuya.jp/schedule/009171.php,2018-06-20,18:30 , 19:00
33,WWW,フォーカード LIVE 2018,ミツメ / 踊Foot Works / 福士誠治 / 滝口幸広 / 真山明大 / 飯塚貴士,,http://www-shibuya.jp/schedule/009033.php,2018-06-21,18:00 , 19:00
34,WWW X,TAKUI NAKAJIMA LIVE TOUR 2018（16 BEATS ONLY!!）Dance！Feel The Noize.,中島卓偉,,http://www-shibuya.jp/schedule/008841.php,2018-06-22,19:00 , 19:30
35,WWW,Anly x Leola 〜Sun Night〜,Anly / Leola / オープニングアクト: 栗もえか,,http://www-shibuya.jp/schedule/008991.php,2018-06-22,18:00 , 19:00
36,WWW X,"フィロソフィーのダンス東名阪ツアー「Girls Are Back In Town VOL,1」アフターパーティ",フィロソフィーのダンス,,http://www-shibuya.jp/schedule/009125.php,2018-06-23,16:00 , 17:00
37,WWW,カネコアヤノ 東名阪 単独演奏会 2018　東京編,カネコアヤノ,,http://www-shibuya.jp/schedule/008810.php,2018-06-23,17:30 , 18:00
38,WWW β,Tohji EP “9.97” Release Party,[LIVE]：Tohji / Fuji Taito / Sleet Mage / [DJ]：ChuBEI / Supernatural / 荒井優作 / Threepee Boys...,,http://www-shibuya.jp/schedule/009101.php,2018-06-23,24:00 , 24:00
39,WWW,"NEW ALBUM ""dawn"" RELEASE PARTY -SILENT POETS SPECIAL DUB BAND LIVE SHOW-","SILENT POETS SPECIAL DUB BAND feat. 5lack, NIPPS, こだま和文, 武田カオリ, asuka ando, 山崎円城 (F.I.B J...",,http://www-shibuya.jp/schedule/009010.php,2018-06-24,18:00 , 19:00
40,WWW X,DRIP TOKYO @ WWW X,雨のパレード / odol / PAELLAS,,http://www-shibuya.jp/schedule/009017.php,2018-06-24,17:00 , 18:00
41,WWW,UNiTE. ONEMAN TOUR 2018 ｢強くてNEW GAME｣,ユナイト,,http://www-shibuya.jp/schedule/008958.php,2018-06-25,18:15 , 19:00
42,WWW X,チャットモンチー「誕生」リリースイベント誕生会,チャットモンチー / 月の満ちかけ / ペペッターズ,,http://www-shibuya.jp/schedule/009135.php,2018-06-25,18:30 , 19:00
43,WWW,"古川麦「シースケープ」リリース記念ライブ ""光の街""","Baku Furukawa with the Seascape Orchestra 古川麦 (vo, gt) / 田中佑司 (dr) / 千葉広樹 (b) / 須原杏 (vn) ...",,http://www-shibuya.jp/schedule/008835.php,2018-06-26,19:00 , 20:00
44,WWW,キミイロプロジェクト3ヶ月連続ワンマンライブ〜魂の共有〜,キミイロプロジェクト / キミイロユース,,http://www-shibuya.jp/schedule/009041.php,2018-06-27,18:00 , 18:45
45,WWW,Goat Girl Japan Tour 2018,Goat Girl / サポートアクト：TAWINGS,,http://www-shibuya.jp/schedule/008995.php,2018-06-28,19:00 , 19:30
46,WWW X,スタプラ東京Vol.1,ロッカジャポニカ / はちみつロケット / 桜エビ〜ず / スタプラ東京公式オープニングチーム マジェスティックセブン(OA),,http://www-shibuya.jp/schedule/009143.php,2018-06-29,18:30 , 19:00
47,WWW,VIDEOTAPEMUSIC × WWW Presents SOUTHERN SCREEN -南国電影-,[LIVE]：VIDEOTAPEMUSIC / 鶴岡龍 / 民謡クルセイダーズ / [DJ]：okadada / Young-G(stillichimiya) / 出張東西相會,,http://www-shibuya.jp/schedule/009062.php,2018-06-29,23:30 , 23:30
48,WWW,"グッドラックヘイワ presents ""Exhibition""",グッドラックヘイワ / imai /【映像】山口崇司 / 橋本麦,,http://www-shibuya.jp/schedule/008840.php,2018-06-30,16:30 , 17:30
49,WWW X,なあ、、聞いた？ななもりとジェル、ライブかますってよぉ・・・,ななもり。 / ジェル,,http://www-shibuya.jp/schedule/009175.php,2018-06-30,,
50,WWW β,解体新書 feat. Imre Kiss & S Olbricht - Lobster Theremin x Budapes -,Imre Kiss / S Olbricht / Cemetery - LIVE - / Romy Mats / VJ Camel / Bruna / Tomii Meme / J...,,http://www-shibuya.jp/schedule/009136.php,2018-06-30,24:00 ※未成年者の入場不可・要顔写真付きID , You must be 20 or over with Photo ID to enter.
